"","e141_R","e150_R","h1046_R","h1157","h2000_R","h968","h999","x107","x120","x138_R","e120_R","h754","h755","h761","x191_R","x23_R","x231_R","x265_R","x84","x95","e92","h640","h646","h737_R","h947","x129_R","x15","x156_R","x205","x74","h1197_R","h1205","h592","h655","h656","h905","h991","x197_R","x209_R","x242_R","e24","e30_R","e57","h2029","x133","x145","x181_R","x216_R","x251_R","x274_R","e64_R","h1281_R","h44_R","h470_R","h901","h948","h950","h954","h959","x79_R"
"e141_R",0,0.104305193008266,0.0575051898865793,0.085150301393691,0.0591013702369665,0.0409511043886459,0.0652254191287849,0.113431901917733,0.0695686265758093,0.101457697939309,0.0884584790567162,0.074053891511241,0.048687027700534,0.0475643665821202,0.059351744008064,0.0610800566335703,0.0863396331451862,0.0843914165369246,0.0633944668986968,0.0853631926786993,0.10684755566941,0.0630017956961058,0.0492963761301719,0.061322489526126,0.0419063381756728,0.105144567525208,0.0624657519693388,0.0937591521961965,0.0302353577705596,0.0689805259514347,0.037631226650563,0.0217263079535628,0.0503182056077347,0.0222568420105307,0.0275105683056664,0.036489298212329,0.0441385052166949,0.0556985603243474,0.0482943013264445,0.0493827424217561,0.0557748864641932,0.0262961106463071,0.0440186583716948,0.0139394901409959,0.0254608929547482,0.0256930400778881,0.0299919232862442,0.0185979222195591,0.0237725486427025,0.0215518794526806,0.062664926589997,0.0585160511803835,0.0576368527458744,0.0321056543465588,0.0197696958008535,0.0429570984441061,0.0222872623915511,0.0395803773104948,0.0614625839518772,0.079354185217849
"e150_R",0.104305193008266,0,0.0591446186323425,0.0981224012768096,0.0344782325572428,0.0420030090398926,0.0688038688564498,0.0729730715366039,0.0794483736398366,0.103356773853914,0.0514583609754378,0.0310062094204833,0.0169006563662983,0.0395785771424642,0.0541023300848686,0.0493625407644505,0.0479161215287895,0.0437767556724222,0.0446983512615917,0.0716124493881298,0.0751522611022168,0.0436357985693561,0.0410325258515374,0.0411792984722572,0.033689742286704,0.0602361731698506,0.0551832974564745,0.0538393942281354,0.0502788274085515,0.0663229213186893,0.0504803142922876,0.0168942429723189,0.0254415425001793,0.0193362303110014,0.0285688371831938,0.0509186656572149,0.0479927209425561,0.0594515577174057,0.0487760337978305,0.0738564209568651,0.0803506217546457,0.0344848492929848,0.0528455597502457,0.0182519011529418,0.021970170714753,0.0249513410599267,0.0274039347619519,0.0205970741530499,0.039806478717773,0.0351883727663234,0.0650585650016891,0.0387462191747598,0.0505764087108633,0.0445861197785429,0.0642368333222803,0.0559362937071612,0.0384879588915759,0.0314984128363314,0.0523906824779394,0.0722385129383589
"h1046_R",0.0575051898865793,0.0591446186323425,0,0.122016593732835,0.0792688024442434,0.0578687405481095,0.048969834484184,0.0769036396353249,0.0834278989842958,0.128216475604352,0.0415034538179961,0.0706359032100434,0.0693366390749484,0.0925389848093201,0.0646474831744777,0.0725072842414143,0.0544873439683435,0.0760524928295578,0.0438115802052597,0.11130953487534,0.0661580540344264,0.0667793461265878,0.053603033666322,0.0408244140179761,0.0418374114911768,0.0661364745163309,0.0643390839351534,0.0936684862433794,0.0323636299526808,0.0705872446024056,0.0357679776641975,0.0350588832139933,0.0463379942242734,0.0450794917162152,0.0407889348406902,0.0634959936925781,0.0666832381923768,0.0594633242370328,0.0774524986088658,0.0539472146981623,0.0306142093079584,0.0213975103416013,0.0427056311574505,0.0216126944021515,0.0275338492377788,0.0291451647007905,0.0181026075639381,0.0153180298227675,0.0302040721565859,0.0282359597736161,0.0619584515065639,0.0630522573907442,0.101459952511888,0.0495051047055068,0.0375337995859391,0.0685161833985135,0.0623384835993921,0.0465051864232984,0.0848597553890689,0.070309819481106
"h1157",0.085150301393691,0.0981224012768096,0.122016593732835,0,0.0808856801593563,0.117115800511334,0.156535809027555,0.141719270316494,0.146796017648009,0.121783370219506,0.0619923972366632,0.067352249062206,0.0468739462469232,0.078443204405529,0.0457113129613202,0.0621584084805473,0.0377916079932148,0.0593261781774403,0.048116708760614,0.081619021020122,0.0880894190630124,0.110922935546495,0.0583920871664194,0.041812031740899,0.0578018155667301,0.083549458526917,0.0858053714682412,0.114048465969357,0.0691891940623424,0.144129067009694,0.0557400797770637,0.0283453644151823,0.042602026981259,0.0361324888469898,0.0332304877136949,0.114324163408685,0.0725934445012242,0.057935486009058,0.0472644298702125,0.048881975092165,0.0494620063234161,0.0216128116020493,0.0420168437593893,0.030288470734956,0.0201288834779492,0.050448761266443,0.0234455407826859,0.0194666422236955,0.0434734870798277,0.0333713784082983,0.0467560852992697,0.0555839320392995,0.0709353672125412,0.0484417741290653,0.0551437381971556,0.118473154647158,0.070257844607343,0.0472696370160297,0.110983586169923,0.0630132961329264
"h2000_R",0.0591013702369665,0.0344782325572428,0.0792688024442434,0.0808856801593563,0,0.0680490845971735,0.0686443038645046,0.0818409747132907,0.064283595292121,0.0807776145146195,0.0568549673691989,0.0563335931066939,0.0535444590140495,0.0728863590148281,0.0513379576726418,0.0456030010377035,0.0546040310664835,0.0538372938573168,0.0715305091747664,0.0599966357236328,0.0519562332945678,0.0746906482576914,0.0513889666291196,0.0696941584966866,0.0543294531140832,0.0717784358757134,0.0276405829511384,0.0821280725903302,0.040939049013716,0.066469213899103,0.0275694212393107,0.0256209472021864,0.0534461116535097,0.0359957909853645,0.0471893827587788,0.0467399255572851,0.0595263259731786,0.0611125798942767,0.0603862937545632,0.0566919251052038,0.0225823449641345,0.0168718057684871,0.0247102904494234,0.0169113355188721,0.0165536685532555,0.0254919916064695,0.0158723524350743,0.0210784096587706,0.0176919415578571,0.025791182339169,0.0374733305897776,0.0724387397711128,0.0908492113120287,0.0594529862301729,0.0291421380404624,0.0659471289215072,0.0685154966401131,0.0851931835029389,0.0734806650223292,0.0426589987591575
"h968",0.0409511043886459,0.0420030090398926,0.0578687405481095,0.117115800511334,0.0680490845971735,0,0.159120291821317,0.0841843694705169,0.0794097493880845,0.0549495399729816,0.0387613224205969,0.0537633993242257,0.0249018469695717,0.0322642818750758,0.0469016525581831,0.0346909228422039,0.0597126209931127,0.0378740978795231,0.0573114122532976,0.0697457547648259,0.057323133224267,0.112746143917532,0.100392372858882,0.0489420694745393,0.094365820017825,0.091637011393229,0.10544688209126,0.0855992109459591,0.0727842372640684,0.103613121559843,0.0650177356723156,0.0419209822854589,0.0565764309722225,0.054486029108443,0.0384746839707724,0.0782169646859825,0.0913766591447529,0.0628620350924294,0.0506644489458221,0.0611241449835687,0.0388225373684747,0.0203689879300941,0.0490368839778332,0.0134965359474499,0.0536535476647826,0.0438898003887624,0.0258169816442195,0.0338801905455335,0.0363502681216681,0.0526107378434912,0.0388653564941905,0.0812996282189213,0.0689020982855939,0.0649074269694352,0.0710696458272944,0.150913203520511,0.061947718047354,0.0931009222582899,0.117694981160451,0.0552211619586465
"h999",0.0652254191287849,0.0688038688564498,0.048969834484184,0.156535809027555,0.0686443038645046,0.159120291821317,0,0.0852986138897887,0.0858397709574623,0.0559497912016549,0.0466830474225337,0.081645232133841,0.0340649082043245,0.0711897385579303,0.0454667267029949,0.0528322565675041,0.0393831749941356,0.052656299235275,0.121696450109371,0.0723089130704277,0.0681336066354499,0.138784478112272,0.0899924196305526,0.0623809063718443,0.116597020802772,0.0814768134725439,0.0980232469550768,0.0926435494664726,0.056706871880992,0.12930767804351,0.0489279936856195,0.0422982640796667,0.0691136315185434,0.0433304426269059,0.0316418599170465,0.0752115213603539,0.0364830815072015,0.0547519106010927,0.0351421723621246,0.0402640739986704,0.0627879790026156,0.0269708083337168,0.0350674886619338,0.0199165186180634,0.0431731952335981,0.0289783044997325,0.0213828568168348,0.0128841039007797,0.0345337728331256,0.0377100160834059,0.0404195968953394,0.0765261473053411,0.0727953196145008,0.0425443314382683,0.0570479070019707,0.106610707528846,0.0262270763784453,0.0787888830427592,0.0557129705375079,0.0332294615681112
"x107",0.113431901917733,0.0729730715366039,0.0769036396353249,0.141719270316494,0.0818409747132907,0.0841843694705169,0.0852986138897887,0,0.177507141046038,0.169020181454065,0.0595710841348311,0.0693062916098204,0.0523459274738527,0.0812826144626926,0.126559294669865,0.0934525298330664,0.145557897346745,0.119601772794526,0.112377534631367,0.217980692499389,0.118954818099953,0.110020068595697,0.0585190449757618,0.0629438417642612,0.0783945302302533,0.105596919513184,0.113725435854465,0.126571285081662,0.0845407869813379,0.175030481314562,0.0421748877616785,0.0210966377270911,0.023693294821947,0.0384220123662753,0.041927954504215,0.0706922855978127,0.0881868325243551,0.0557542516078273,0.0395500526297043,0.0636075973561616,0.0374310723762905,0.0144166266628578,0.0716415977724139,0.0303397717190168,0.069215350558586,0.038589765422413,0.0279845513223091,0.0267812015833968,0.0467242954238256,0.04467664412961,0.0911824707594948,0.0648366626972288,0.0818347318686281,0.0476905269822909,0.0399045944082226,0.107734524884919,0.102165323648554,0.0826654155811246,0.160849307835124,0.115481541801179
"x120",0.0695686265758093,0.0794483736398366,0.0834278989842958,0.146796017648009,0.064283595292121,0.0794097493880845,0.0858397709574623,0.177507141046038,0,0.125937395832943,0.0710115702850866,0.0487232572190388,0.0440277804337401,0.0505547633110246,0.0734050293883182,0.0644637000884725,0.0786885738081993,0.0901126069567022,0.0787012291000826,0.15473329206152,0.142507732078854,0.0799849211352726,0.045544679223021,0.0485839075062762,0.0692063643320844,0.0800439168021114,0.101527477153928,0.14837715239357,0.0729613616786668,0.134360765686599,0.0420973520687706,0.0357066106345751,0.0303107877970659,0.0363180152317679,0.0287505783193134,0.0856046074734165,0.058889553107857,0.0491208661695146,0.0740718845512962,0.0676142165738538,0.0482367062575921,0.0170924766184677,0.0750588228288041,0.0352694132535323,0.0485758485486505,0.0689757053865252,0.0338291768654959,0.0132805527584323,0.0435974578609488,0.0602931058919038,0.0383061497777883,0.0544410429892528,0.0600482461414469,0.0183821131666688,0.0532388745759018,0.0726699686878742,0.0946496409349189,0.0571857186119393,0.109230539775846,0.0721380795662721
"x138_R",0.101457697939309,0.103356773853914,0.128216475604352,0.121783370219506,0.0807776145146195,0.0549495399729816,0.0559497912016549,0.169020181454065,0.125937395832943,0,0.0782376047938036,0.080104336067472,0.0682444850192017,0.12412028773407,0.129924582461007,0.156566850281885,0.131725379582781,0.146544636545063,0.0750464999049982,0.186139633275911,0.0824828108002462,0.0462908375107975,0.0279556977509428,0.0405299202159068,0.0480715134461289,0.0905614834540813,0.0678356330309624,0.123862573104011,0.0565873653242916,0.129163021604636,0.0358965294976823,0.0245484978601573,0.0286129950969718,0.0291010902721212,0.0286455927048612,0.0580116645634168,0.0553033010448614,0.0614186870504372,0.0759615699137148,0.0861964645634115,0.0405377013745452,0.025094798342725,0.0343564408782062,0.022193639553596,0.0306370537140377,0.0318525005167989,0.0319979477437826,0.0300552883945846,0.0515732974621761,0.0468702984332987,0.0842779349025125,0.0552058113519749,0.0597519215551321,0.0358846685936949,0.036835767890544,0.0838763176835733,0.0810968680805306,0.0540722369758431,0.0833460969446076,0.111622925239432
"e120_R",0.0884584790567162,0.0514583609754378,0.0415034538179961,0.0619923972366632,0.0568549673691989,0.0387613224205969,0.0466830474225337,0.0595710841348311,0.0710115702850866,0.0782376047938036,0,0.119418958672596,0.0591431370991962,0.10190645437599,0.0701335042867224,0.106459485321929,0.126368973925346,0.111822375794361,0.0666184420425084,0.092383828644659,0.107501667247508,0.0471656838168082,0.0262940975397385,0.0401368226851466,0.0285557015718574,0.0591075897980016,0.0380241946544047,0.0701262834542238,0.0170433737004991,0.0473681820013327,0.0224548588436266,0.0232644529714325,0.0226546806927934,0.0147827336307964,0.0221569703265141,0.0297193332762307,0.0309816142696415,0.0394797746756113,0.0345838098838351,0.0407607585840757,0.0549160199364112,0.0257535216054992,0.0511739996657306,0.0204376012617535,0.0278287387096081,0.0408910595338714,0.0428437364818355,0.0187687357181439,0.0323733812923357,0.0441146439343703,0.0667377811724328,0.0341781595880635,0.0373650662899889,0.0272839588059224,0.0226647570348675,0.0508574627950407,0.0449295762908823,0.0241393188012569,0.0326611396898771,0.0462971315109892
"h754",0.074053891511241,0.0310062094204833,0.0706359032100434,0.067352249062206,0.0563335931066939,0.0537633993242257,0.081645232133841,0.0693062916098204,0.0487232572190388,0.080104336067472,0.119418958672596,0,0.201222408245749,0.266021512104404,0.111192581788617,0.124157942017753,0.196487562237746,0.174250658636207,0.123237065046313,0.155949633995535,0.111666355368672,0.0812146205285766,0.050488893308295,0.0397732278649934,0.0452488929997359,0.0532234441363957,0.0552072636003564,0.0759809832516405,0.033911593928142,0.0607253337111988,0.0309149870201102,0.0359202811394397,0.0248998843050439,0.0165408121141395,0.0326624162228675,0.0393346736442943,0.036235377021796,0.026729341227663,0.0383409120886098,0.0364565923163935,0.0690536694431336,0.0204733987285435,0.0500771889128879,0.026664689296235,0.0287059756959911,0.0429562619071251,0.0461582833029541,0.0266387850318388,0.0381746248779726,0.0422686965202046,0.0259246913871856,0.0473895591389195,0.0390608241405297,0.0228008772015094,0.0270560008515943,0.060839624822151,0.0465120154926764,0.0403082599688127,0.0349775626981921,0.0365404463716641
"h755",0.048687027700534,0.0169006563662983,0.0693366390749484,0.0468739462469232,0.0535444590140495,0.0249018469695717,0.0340649082043245,0.0523459274738527,0.0440277804337401,0.0682444850192017,0.0591431370991962,0.201222408245749,0,0.153953743052374,0.0993527066799902,0.0908863003006855,0.169886141985808,0.117403704939774,0.0867064884283493,0.107685740180284,0.0602624696899845,0.0502066350169637,0.0420749485112881,0.0275434937738694,0.0311391553432769,0.034717070449187,0.0336965725724823,0.044129253394793,0.0173914173662011,0.048509504773699,0.0252280602202397,0.0385964928783173,0.0251553601456731,0.0195058362889036,0.0181029126432604,0.0457885446550623,0.0320091537404701,0.0307471811869053,0.0301774750310031,0.0217395976865422,0.0549874696784305,0.0176396501773559,0.0518577462684502,0.0293513300596593,0.0272452464132331,0.0307928613655095,0.0401018795385837,0.0297910886039423,0.0261874452435902,0.032844710890727,0.0445907231758702,0.043121315790025,0.0389288304749758,0.0237916408577425,0.0229786131543386,0.0568658573654739,0.076842242524314,0.0416819470472154,0.0439351128117447,0.0381965458397167
"h761",0.0475643665821202,0.0395785771424642,0.0925389848093201,0.078443204405529,0.0728863590148281,0.0322642818750758,0.0711897385579303,0.0812826144626926,0.0505547633110246,0.12412028773407,0.10190645437599,0.266021512104404,0.153953743052374,0,0.096698505955473,0.190809226589925,0.133487336180432,0.180350373156195,0.0813966676376743,0.149978410129656,0.0856877029866085,0.0675373209440382,0.061499106282723,0.0505017466287576,0.0423506170982733,0.0594353631974909,0.0385858630089833,0.0549004899367835,0.0404558481322987,0.0465264985829927,0.0406026005442812,0.0416248742834315,0.0331723539597983,0.0194748482515279,0.0481293640783163,0.0535549704648428,0.048961612132755,0.0414989004206405,0.036416139682248,0.0464080223417671,0.0713003294561889,0.0152460732251369,0.0410648620820893,0.0352636241434436,0.0251701534902073,0.0281465113614674,0.0307777443059685,0.0147695829466246,0.027389287817071,0.0494587511230762,0.0564045267220226,0.0501600506632141,0.0412778263236473,0.0386572252263697,0.0328652258276123,0.0633157794884238,0.0492375444331241,0.0447602293915348,0.0288281556831591,0.0381024808672796
"x191_R",0.059351744008064,0.0541023300848686,0.0646474831744777,0.0457113129613202,0.0513379576726418,0.0469016525581831,0.0454667267029949,0.126559294669865,0.0734050293883182,0.129924582461007,0.0701335042867224,0.111192581788617,0.0993527066799902,0.096698505955473,0,0.0973578024947139,0.130804631183885,0.138005867221461,0.0666250920085059,0.154267616703358,0.0832494815872384,0.0468538115730346,0.0599506158946106,0.0430154024299338,0.0280737716330268,0.0851883401585365,0.0554572842769954,0.0742149708675095,0.0547377622300504,0.0549758089022352,0.045754443489499,0.0331325040285022,0.0201243451067517,0.0257547632485995,0.0167363830633875,0.0308887582838131,0.0617365532373211,0.0625573469524223,0.0440526974022459,0.0653308206743142,0.0635223577511193,0.0271713674846694,0.0679055608784274,0.0151401289794473,0.0337237090274725,0.0339860705045409,0.0378976007589227,0.0351833749520201,0.0532943939654795,0.0427121120681528,0.117358732748037,0.101012564049652,0.0707959025654255,0.0621201050609601,0.0243237171809012,0.0926944264474434,0.0572441339274201,0.0476483305184567,0.0713717692015963,0.169749632523714
"x23_R",0.0610800566335703,0.0493625407644505,0.0725072842414143,0.0621584084805473,0.0456030010377035,0.0346909228422039,0.0528322565675041,0.0934525298330664,0.0644637000884725,0.156566850281885,0.106459485321929,0.124157942017753,0.0908863003006855,0.190809226589925,0.0973578024947139,0,0.151942642915418,0.187220823125394,0.0995386125761288,0.160253742981772,0.076299751460212,0.0520518617585668,0.0378556886427988,0.0265367972687085,0.0407388854238708,0.0545642654952214,0.0461953427064663,0.0800572404248738,0.0262678349212737,0.0779829091615372,0.0242040875853968,0.0226001583192015,0.0149103220659046,0.0218292171039551,0.0358089287910643,0.0373996304773949,0.0292709663483137,0.0595835363064241,0.0531085998252259,0.0460798540674578,0.0337600596128231,0.0345434217540679,0.0271613546934364,0.0209249838765677,0.0204856542094354,0.0438233058595237,0.0249141228284282,0.0106657335940743,0.0215776556133891,0.0373396518415929,0.07708355494603,0.0395950275720609,0.0346929107330851,0.0381038447511384,0.0210890025374315,0.0376020106268689,0.0305813710012357,0.0308147389212525,0.0523393622150818,0.0539193791881507
"x231_R",0.0863396331451862,0.0479161215287895,0.0544873439683435,0.0377916079932148,0.0546040310664835,0.0597126209931127,0.0393831749941356,0.145557897346745,0.0786885738081993,0.131725379582781,0.126368973925346,0.196487562237746,0.169886141985808,0.133487336180432,0.130804631183885,0.151942642915418,0,0.324622953451512,0.122493835333958,0.180911904965197,0.110016801245296,0.0519672520073011,0.0365636668153817,0.0308823098242819,0.0431408205690378,0.0708515134517218,0.0412906576213863,0.126497744508946,0.0246042693026283,0.0724606843726856,0.0151907180068638,0.0232605220132092,0.0142335965628728,0.0199803847239473,0.0406689650693055,0.0238765527718878,0.0298147249326712,0.0296133903099767,0.0342853402954471,0.0540548264341085,0.0452237293160542,0.0218375148125642,0.0474691781698962,0.0224189475969512,0.0298425661137403,0.0479498623907118,0.0514880543538467,0.0408606263968325,0.0659970335454285,0.0518262267199172,0.0570317022082936,0.0308086004564059,0.0349823628405428,0.0311806794035414,0.0266100924039256,0.0562994869439608,0.0425532410165519,0.0347284276976292,0.0410278475440533,0.0557007985661109
"x265_R",0.0843914165369246,0.0437767556724222,0.0760524928295578,0.0593261781774403,0.0538372938573168,0.0378740978795231,0.052656299235275,0.119601772794526,0.0901126069567022,0.146544636545063,0.111822375794361,0.174250658636207,0.117403704939774,0.180350373156195,0.138005867221461,0.187220823125394,0.324622953451512,0,0.11518425038796,0.181535010540388,0.114745912714403,0.0773479880800663,0.0442611112478621,0.0336873937124382,0.0440992062731138,0.0845567942232153,0.0444151907755344,0.130281257150928,0.0380059135549722,0.0840639325908654,0.0210798541465183,0.0351937321740565,0.0166847692007885,0.0134190979327764,0.0427342320797721,0.0272917762031075,0.0365935200773921,0.044420861591274,0.0575627434433263,0.0642622885505295,0.0558283448312253,0.0295391407571537,0.05150574497622,0.0226155976874396,0.017625019140453,0.0456331243795964,0.0503555125000692,0.0449711852393113,0.069156157072328,0.0692081374402478,0.0617672993894773,0.0467650156704487,0.0610710600254736,0.0467842270779224,0.0270147472327018,0.056295309948359,0.0443888293370818,0.0307679334815809,0.03605582029962,0.060038727515332
"x84",0.0633944668986968,0.0446983512615917,0.0438115802052597,0.048116708760614,0.0715305091747664,0.0573114122532976,0.121696450109371,0.112377534631367,0.0787012291000826,0.0750464999049982,0.0666184420425084,0.123237065046313,0.0867064884283493,0.0813966676376743,0.0666250920085059,0.0995386125761288,0.122493835333958,0.11518425038796,0,0.140490261449195,0.152215266162461,0.151568994922681,0.0626592825652406,0.050857771470211,0.0903950974440102,0.11096344403964,0.109150960577903,0.176032991685334,0.057881335335336,0.203759694597505,0.0381004390927426,0.0278491197381969,0.045920368856132,0.0267923792286786,0.0592349588101264,0.0547176401493781,0.0334185058754106,0.0420828634306551,0.0358498965469924,0.0430894706549045,0.0586562569780287,0.00468591745689695,0.0556154947834235,0.020587306079658,0.0385100420195741,0.0472840176324265,0.0521051810689959,0.0160215684276284,0.035697221565377,0.0563895732958044,0.0236854833877951,0.0558622136276314,0.0523412947634725,0.0228109090105115,0.028241444298978,0.0597802521140935,0.0351206631138496,0.0680902482166252,0.0472132073733889,0.0305633423435139
